placekey,year,month,home_cbg,visitors
222-222@8gd-kdb-7kf,2019,2,450130005021,49
222-222@8gd-kdb-7kf,2019,3,371819610001,4
222-222@8gd-kdb-7kf,2019,3,130510111092,4
222-222@8gd-kdb-7kf,2019,3,450630213061,4
222-222@8gd-kdb-7kf,2019,3,450190056002,4
222-222@8gd-kdb-7kf,2019,3,450130103002,4
222-222@8gd-kdb-7kf,2019,3,450059702002,4
222-222@8gd-kdb-7kf,2019,3,450130021083,4
222-222@8gd-kdb-7kf,2019,3,371290115002,4
222-222@8gd-kdb-7kf,2019,3,340270427002,4
222-222@8gd-kdb-7kf,2019,3,450130010001,4
222-222@8gd-kdb-7kf,2019,3,450539501004,4
222-222@8gd-kdb-7kf,2019,3,450130022011,4
222-222@8gd-kdb-7kf,2019,3,130510105022,4
222-222@8gd-kdb-7kf,2019,3,240037309012,4
222-222@8gd-kdb-7kf,2019,3,450130021073,4
222-222@8gd-kdb-7kf,2019,3,260210201002,4
222-222@8gd-kdb-7kf,2019,3,371830501001,4
222-222@8gd-kdb-7kf,2019,3,450499204003,4
222-222@8gd-kdb-7kf,2019,3,371190058241,4
222-222@8gd-kdb-7kf,2019,3,450539502024,4
222-222@8gd-kdb-7kf,2019,3,450130021082,4
222-222@8gd-kdb-7kf,2019,3,450499204001,4
222-222@8gd-kdb-7kf,2019,3,120830012073,4
222-222@8gd-kdb-7kf,2019,3,131790103002,4
222-222@8gd-kdb-7kf,2019,3,450630208052,4
222-222@8gd-kdb-7kf,2019,3,450130021031,4
222-222@8gd-kdb-7kf,2019,3,450499202001,4
222-222@8gd-kdb-7kf,2019,3,360810220024,4
222-222@8gd-kdb-7kf,2019,3,450130105001,4
222-222@8gd-kdb-7kf,2019,3,450130021051,4
222-222@8gd-kdb-7kf,2019,3,360550112073,4
222-222@8gd-kdb-7kf,2019,3,450539503004,4
222-222@8gd-kdb-7kf,2019,3,450130009012,4
222-222@8gd-kdb-7kf,2019,3,450190001003,4
222-222@8gd-kdb-7kf,2019,3,450350108082,4
222-222@8gd-kdb-7kf,2019,3,450499202004,4
222-222@8gd-kdb-7kf,2019,3,450770112052,4
222-222@8gd-kdb-7kf,2019,3,450130021075,4
222-222@8gd-kdb-7kf,2019,3,120690304095,4
222-222@8gd-kdb-7kf,2019,3,390490075203,4
222-222@8gd-kdb-7kf,2019,3,450130104003,4
222-222@8gd-kdb-7kf,2019,3,371190058321,4
222-222@8gd-kdb-7kf,2019,3,090138902013,4
222-222@8gd-kdb-7kf,2019,3,450130012001,4
222-222@8gd-kdb-7kf,2019,3,130510110032,4
222-222@8gd-kdb-7kf,2019,3,450130021053,4
222-222@8gd-kdb-7kf,2019,3,450030206023,4
222-222@8gd-kdb-7kf,2019,3,130299203061,4
222-222@8gd-kdb-7kf,2019,3,450150207131,4
222-222@8gd-kdb-7kf,2019,3,450299706001,4
222-222@8gd-kdb-7kf,2019,3,450190004002,4
222-222@8gd-kdb-7kf,2019,3,450539503002,4
222-222@8gd-kdb-7kf,2019,3,371790210041,4
222-222@8gd-kdb-7kf,2019,3,450150207102,4
222-222@8gd-kdb-7kf,2019,3,450539502011,4
222-222@8gd-kdb-7kf,2019,3,450499201002,4
222-222@8gd-kdb-7kf,2019,3,450499202002,4
222-222@8gd-kdb-7kf,2019,3,131430104003,4
222-222@8gd-kdb-7kf,2019,3,450499202005,4
222-222@8gd-kdb-7kf,2019,3,120390207022,4
222-222@8gd-kdb-7kf,2019,3,450130021042,4
222-222@8gd-kdb-7kf,2019,3,131030303011,4
222-222@8gd-kdb-7kf,2019,3,130510107001,4
222-222@8gd-kdb-7kf,2019,3,450130103003,4
222-222@8gd-kdb-7kf,2019,3,450130113001,4
222-222@8gd-kdb-7kf,2019,3,450299704013,4
222-222@8gd-kdb-7kf,2019,3,240199707021,4
222-222@8gd-kdb-7kf,2019,3,260770011002,4
222-222@8gd-kdb-7kf,2019,3,450130021071,4
222-222@8gd-kdb-7kf,2019,3,131270003001,4
222-222@8gd-kdb-7kf,2019,3,131030303051,4
222-222@8gd-kdb-7kf,2019,3,450130021061,4
222-222@8gd-kdb-7kf,2019,3,450130001002,4
222-222@8gd-kdb-7kf,2019,3,450539502025,4
222-222@8gd-kdb-7kf,2019,3,130299203062,5
222-222@8gd-kdb-7kf,2019,3,450539502023,5
222-222@8gd-kdb-7kf,2019,3,450499204002,5
222-222@8gd-kdb-7kf,2019,3,450130106002,5
222-222@8gd-kdb-7kf,2019,3,450130104002,5
222-222@8gd-kdb-7kf,2019,3,450190026131,6
222-222@8gd-kdb-7kf,2019,3,450190046083,6
222-222@8gd-kdb-7kf,2019,3,450499203001,6
222-222@8gd-kdb-7kf,2019,3,450539502021,6
222-222@8gd-kdb-7kf,2019,3,371330004023,6
222-222@8gd-kdb-7kf,2019,3,450499205001,6
222-222@8gd-kdb-7kf,2019,3,450130005032,7
222-222@8gd-kdb-7kf,2019,3,450130007003,7
222-222@8gd-kdb-7kf,2019,3,450130008003,7
222-222@8gd-kdb-7kf,2019,3,450130002002,7
222-222@8gd-kdb-7kf,2019,3,450499203002,7
222-222@8gd-kdb-7kf,2019,3,450130021062,7
222-222@8gd-kdb-7kf,2019,3,450539502022,7
222-222@8gd-kdb-7kf,2019,3,450130006001,8
